prompt_rel	variant	w	h	draft_path	size_bytes	status	updated_at
tiles/beach_sand.prompt.md	default	512	512	tiles/beach_sand.prompt/drafts/beach_sand__default.png	84933	completed	2026-07-07T07:35:35-05:00
tiles/civic_building.prompt.md	default	512	512	tiles/civic_building.prompt/drafts/civic_building__default.png	197199	completed	2026-07-07T07:35:35-05:00
tiles/cobblestone.prompt.md	default	512	512	tiles/cobblestone.prompt/drafts/cobblestone__default.png	239562	completed	2026-07-07T07:35:35-05:00
tiles/desert_sand.prompt.md	default	512	512	tiles/desert_sand.prompt/drafts/desert_sand__default.png	131230	completed	2026-07-07T07:35:35-05:00
tiles/farmland.prompt.md	default	512	512	tiles/farmland.prompt/drafts/farmland__default.png	288157	completed	2026-07-07T07:35:35-05:00
tiles/forest_floor.prompt.md	default	512	512	tiles/forest_floor.prompt/drafts/forest_floor__default.png	335027	completed	2026-07-07T07:35:35-05:00
tiles/industrial_concrete.prompt.md	default	512	512	tiles/industrial_concrete.prompt/drafts/industrial_concrete__default.png	290655	completed	2026-07-07T07:35:35-05:00
tiles/mountain_rock.prompt.md	default	512	512	tiles/mountain_rock.prompt/drafts/mountain_rock__default.png	267372	completed	2026-07-07T07:35:35-05:00
tiles/ocean_water.prompt.md	default	512	512	tiles/ocean_water.prompt/drafts/ocean_water__default.png	143994	completed	2026-07-07T07:35:35-05:00
tiles/park_grass.prompt.md	default	512	512	tiles/park_grass.prompt/drafts/park_grass__default.png	352941	completed	2026-07-07T07:35:35-05:00
tiles/port_asphalt.prompt.md	default	512	512	tiles/port_asphalt.prompt/drafts/port_asphalt__default.png	226964	completed	2026-07-07T07:35:35-05:00
tiles/residential_building.prompt.md	default	512	512	tiles/residential_building.prompt/drafts/residential_building__default.png	166276	completed	2026-07-07T07:35:35-05:00
tiles/river_water.prompt.md	default	512	512	tiles/river_water.prompt/drafts/river_water__default.png	256302	completed	2026-07-07T07:35:35-05:00
tiles/runway.prompt.md	default	512	512	tiles/runway.prompt/drafts/runway__default.png	201833	completed	2026-07-07T07:35:35-05:00
tiles/sidewalk.prompt.md	default	512	512	tiles/sidewalk.prompt/drafts/sidewalk__default.png	263646	completed	2026-07-07T07:35:35-05:00
tiles/street.prompt.md	default	512	512	tiles/street.prompt/drafts/street__default.png	191244	completed	2026-07-07T07:35:35-05:00
tiles/swamp.prompt.md	default	512	512	tiles/swamp.prompt/drafts/swamp__default.png	175235	completed	2026-07-07T07:35:35-05:00
