path,slug,variant,base_local,base_s3,prompt,nim_safe_prompt,t2i_prompt,ratio,done
content/scenes/central_plaza/assets/central_plaza__night.png,central_plaza,night,content/scenes/central_plaza/assets/central_plaza__default.png,s3://las-flores/backgrounds/central_plaza/central_plaza__default.png,"Use the base scene as reference. Re-light the plaza as a night scene: the fountain glowing, neon signs and holographic billboards blazing brighter, colonial façades in shadow, wet reflective pavement, cooler blue and magenta palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the plaza as a night scene: the fountain glowing, neon signs and holographic billboards blazing brighter, colonial façades in shadow, wet reflective pavement, cooler blue and magenta palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The Central Plaza of Las Flores 2077: a broad public square where colonial façades meet neon signage. A central fountain, street vendor stalls along the edges, flickering holographic billboards above the crowd. Re-light the plaza as a night scene: the fountain glowing, neon signs and holographic billboards blazing brighter, colonial façades in shadow, wet reflective pavement, cooler blue and magenta palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/central_plaza/assets/central_plaza__sunset.png,central_plaza,sunset,content/scenes/central_plaza/assets/central_plaza__default.png,s3://las-flores/backgrounds/central_plaza/central_plaza__default.png,"Use the base scene as reference. Re-light the plaza with golden-hour sun: long warm shadows across the square, amber rays between the buildings, the fountain catching warm light, neon just beginning to glow. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the plaza with golden-hour sun: long warm shadows across the square, amber rays between the buildings, the fountain catching warm light, neon just beginning to glow. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The Central Plaza of Las Flores 2077: a broad public square where colonial façades meet neon signage. A central fountain, street vendor stalls along the edges, flickering holographic billboards above the crowd. Warm afternoon sun blending with electric neon, vibrant and energetic. Re-light the plaza with golden-hour sun: long warm shadows across the square, amber rays between the buildings, the fountain catching warm light, neon just beginning to glow. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/estacion_central/assets/estacion_central__night.png,estacion_central,night,content/scenes/estacion_central/assets/estacion_central__default.png,s3://las-flores/backgrounds/estacion_central/estacion_central__default.png,"Use the base scene as reference. Re-light the platform as a late-night scene: the station dimmer, tunnel mouths glowing, neon signage brighter, track lights streaking in the dark, cooler blue palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the platform as a late-night scene: the station dimmer, tunnel mouths glowing, neon signage brighter, track lights streaking in the dark, cooler blue palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The main interchange platform of Estación Central in Las Flores 2077, where multiple metro lines converge below the commercial district. Surveillance arrays crowd the ceiling, automated turnstiles and kiosks line the platform, a holographic route map glows overhead. Re-light the platform as a late-night scene: the station dimmer, tunnel mouths glowing, neon signage brighter, track lights streaking in the dark, cooler blue palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/estacion_central/assets/estacion_central__sunset.png,estacion_central,sunset,content/scenes/estacion_central/assets/estacion_central__default.png,s3://las-flores/backgrounds/estacion_central/estacion_central__default.png,"Use the base scene as reference. Re-light the platform with warm golden-hour light slanting in from the street entrances: amber shafts across the platform, softer ceiling light, warm reflections on the rails. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the platform with warm golden-hour light slanting in from the street entrances: amber shafts across the platform, softer ceiling light, warm reflections on the rails. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The main interchange platform of Estación Central in Las Flores 2077, where multiple metro lines converge below the commercial district. Surveillance arrays crowd the ceiling, automated turnstiles and kiosks line the platform, a holographic route map glows overhead. Re-light the platform with warm golden-hour light slanting in from the street entrances: amber shafts across the platform, softer ceiling light, warm reflections on the rails. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/far_south/assets/far_south__night.png,far_south,night,content/scenes/far_south/assets/far_south__default.png,s3://las-flores/backgrounds/far_south/far_south__default.png,"Use the base scene as reference. Re-light the farmland as a night scene: dark fields under a wide starry sky, the city's glow on the horizon, homestead windows and a single security light dotting the dark. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the farmland as a night scene: dark fields under a wide starry sky, the city's glow on the horizon, homestead windows and a single security light dotting the dark. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The rural edge of Las Flores 2077: open farmland and scattered homesteads where the city yields to agricultural land. An unpaved dusty road winds past crop fields and rooftops fitted with solar panels, a distant haze marking the city. Soft natural afternoon light, serene and isolated. Re-light the farmland as a night scene: dark fields under a wide starry sky, the city's glow on the horizon, homestead windows and a single security light dotting the dark. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/far_south/assets/far_south__sunset.png,far_south,sunset,content/scenes/far_south/assets/far_south__default.png,s3://las-flores/backgrounds/far_south/far_south__default.png,"Use the base scene as reference. Re-light the farmland with golden-hour sun: long warm shadows across the crops, amber sky, solar panels catching the last light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the farmland with golden-hour sun: long warm shadows across the crops, amber sky, solar panels catching the last light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The rural edge of Las Flores 2077: open farmland and scattered homesteads where the city yields to agricultural land. An unpaved dusty road winds past crop fields and rooftops fitted with solar panels, a distant haze marking the city. Soft natural afternoon light, serene and isolated. Re-light the farmland with golden-hour sun: long warm shadows across the crops, amber sky, solar panels catching the last light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/industrial/assets/industrial__night.png,industrial,night,content/scenes/industrial/assets/industrial__default.png,s3://las-flores/backgrounds/industrial/industrial__default.png,"Use the base scene as reference. Re-light the district as a night scene: dark sky, smokestacks silhouetted, warm industrial lamps and neon yard lights glowing, steam lit from below, cooler blue-black palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the district as a night scene: dark sky, smokestacks silhouetted, warm industrial lamps and neon yard lights glowing, steam lit from below, cooler blue-black palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The industrial backbone of Las Flores 2077: factories and warehouses line the streets, smokestacks mixing with humid air. Steam vents over rain-slicked asphalt, loading bays gape open, filtration systems hum in the haze. Gritty and hard-edged beneath industrial light. Re-light the district as a night scene: dark sky, smokestacks silhouetted, warm industrial lamps and neon yard lights glowing, steam lit from below, cooler blue-black palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/industrial/assets/industrial__sunset.png,industrial,sunset,content/scenes/industrial/assets/industrial__default.png,s3://las-flores/backgrounds/industrial/industrial__default.png,"Use the base scene as reference. Re-light the district with a golden-orange sunset: the haze glowing amber around the smokestacks, long shadows across the loading bays, warm light on the wet pavement. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the district with a golden-orange sunset: the haze glowing amber around the smokestacks, long shadows across the loading bays, warm light on the wet pavement. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The industrial backbone of Las Flores 2077: factories and warehouses line the streets, smokestacks mixing with humid air. Steam vents over rain-slicked asphalt, loading bays gape open, filtration systems hum in the haze. Gritty and hard-edged beneath industrial light. Re-light the district with a golden-orange sunset: the haze glowing amber around the smokestacks, long shadows across the loading bays, warm light on the wet pavement. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/la_casa_de_la_musica/assets/la_casa_de_la_musica__night.png,la_casa_de_la_musica,night,content/scenes/la_casa_de_la_musica/assets/la_casa_de_la_musica__default.png,s3://las-flores/backgrounds/la_casa_de_la_musica/la_casa_de_la_musica__default.png,"Use the base scene as reference. Re-light the venue as an active night club: the holographic light rig blazing with volumetric beams, deep shadows in the rafters, pulsing neon accent lights, richer color contrast. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the venue as an active night club: the holographic light rig blazing with volumetric beams, deep shadows in the rafters, pulsing neon accent lights, richer color contrast. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The main performance floor of La Casa de la Música in Las Flores 2077, a converted textile warehouse. A holographic light rig hangs in standby over the open floor, acoustic panels line the exposed steel rafters, and warm stage light pools at the center. Energetic and expectant. Re-light the venue as an active night club: the holographic light rig blazing with volumetric beams, deep shadows in the rafters, pulsing neon accent lights, richer color contrast. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/la_casa_de_la_musica/assets/la_casa_de_la_musica__sunset.png,la_casa_de_la_musica,sunset,content/scenes/la_casa_de_la_musica/assets/la_casa_de_la_musica__default.png,s3://las-flores/backgrounds/la_casa_de_la_musica/la_casa_de_la_musica__default.png,"Use the base scene as reference. Re-light the venue with warm golden-hour light through the warehouse windows: amber washes across the floor and rafters, the light rig softly glowing, dust in the sunbeams. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the venue with warm golden-hour light through the warehouse windows: amber washes across the floor and rafters, the light rig softly glowing, dust in the sunbeams. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The main performance floor of La Casa de la Música in Las Flores 2077, a converted textile warehouse. A holographic light rig hangs in standby over the open floor, acoustic panels line the exposed steel rafters, and warm stage light pools at the center. Energetic and expectant. Re-light the venue with warm golden-hour light through the warehouse windows: amber washes across the floor and rafters, the light rig softly glowing, dust in the sunbeams. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/los_andes/assets/los_andes__night.png,los_andes,night,content/scenes/los_andes/assets/los_andes__default.png,s3://las-flores/backgrounds/los_andes/los_andes__default.png,"Use the base scene as reference. Re-light the heights as a night scene: the residential terraces softly lit, the entire city below glittering with neon and streetlights, a wide starry mountain sky above. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the heights as a night scene: the residential terraces softly lit, the entire city below glittering with neon and streetlights, a wide starry mountain sky above. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The elevated heights of Los Andes in Las Flores 2077: a sweeping terrace overlooking the city far below. Pristine modernist residences with clean angular architecture, clear mountain air, bright daylight, the glittering valley stretching to the coast. Exclusive and serene. Re-light the heights as a night scene: the residential terraces softly lit, the entire city below glittering with neon and streetlights, a wide starry mountain sky above. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no oversaturated colors,",5:3,1
content/scenes/los_andes/assets/los_andes__sunset.png,los_andes,sunset,content/scenes/los_andes/assets/los_andes__default.png,s3://las-flores/backgrounds/los_andes/los_andes__default.png,"Use the base scene as reference. Re-light the heights with a golden-hour sunset: warm amber washing over the modernist residences and the valley below, long mountain shadows, the city catching the last light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the heights with a golden-hour sunset: warm amber washing over the modernist residences and the valley below, long mountain shadows, the city catching the last light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The elevated heights of Los Andes in Las Flores 2077: a sweeping terrace overlooking the city far below. Pristine modernist residences with clean angular architecture, clear mountain air, bright daylight, the glittering valley stretching to the coast. Exclusive and serene. Re-light the heights with a golden-hour sunset: warm amber washing over the modernist residences and the valley below, long mountain shadows, the city catching the last light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no oversaturated colors,",5:3,1
content/scenes/north/assets/north__night.png,north,night,content/scenes/north/assets/north__default.png,s3://las-flores/backgrounds/north/north__default.png,"Use the base scene as reference. Re-light the avenue as an evening scene: storefront windows glowing warm, neat streetlights, a few neon accents, the residential windows lit, calm night palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the avenue as an evening scene: storefront windows glowing warm, neat streetlights, a few neon accents, the residential windows lit, calm night palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A residential avenue in the Northern District of Las Flores 2077: mixed-use blocks of mid-rise housing and small commercial storefronts. A wide street with modest signage, a neighborhood park, and warm detail in the façades. Even daylight, familiar and comfortable. Re-light the avenue as an evening scene: storefront windows glowing warm, neat streetlights, a few neon accents, the residential windows lit, calm night palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
